# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Bishop	181	13.71447	1.24082	0.00998	0.95273	0.00970	0.00088	0.07697	0.02282	0.00135	0.92303	0.02282	0.00135	0.07067	0.01644	0.00115	0.92933	0.01644	0.00115	0.07348	0.01780	0.00120	-0.00735	0.01553	0.00998
Red_Knolls	270	13.57538	1.17517	0.00981	0.95413	0.00940	0.00088	0.07619	0.02308	0.00137	0.92381	0.02308	0.00137	0.06874	0.01630	0.00115	0.93126	0.01630	0.00115	0.07149	0.01764	0.00120	-0.01188	0.01329	0.00981
Clear_Lake	150	13.68963	1.25131	0.01009	0.95381	0.00874	0.00084	0.07737	0.02180	0.00133	0.92263	0.02180	0.00133	0.07064	0.01517	0.00111	0.92936	0.01517	0.00111	0.07344	0.01642	0.00116	-0.00822	0.01598	0.01009
Willow_Pond	255	13.66797	1.20835	0.00945	0.94749	0.01029	0.00087	0.08427	0.02314	0.00131	0.91573	0.02314	0.00131	0.07892	0.01735	0.00113	0.92108	0.01735	0.00113	0.08204	0.01877	0.00118	-0.00358	0.01815	0.00945
Gandy	307	13.78667	1.21440	0.00936	0.94843	0.01141	0.00091	0.08090	0.02509	0.00134	0.91910	0.02509	0.00134	0.07502	0.01884	0.00117	0.92498	0.01884	0.00117	0.07797	0.02036	0.00121	-0.00689	0.01528	0.00936
Keg_Springs	333	7.58937	0.24203	0.00409	0.94265	0.01266	0.00094	0.08709	0.02703	0.00137	0.91291	0.02703	0.00137	0.08281	0.02110	0.00121	0.91719	0.02110	0.00121	0.08875	0.02424	0.00129	0.00358	0.02216	0.00409
Tooele_Army	547	9.24180	0.60266	0.00590	0.94261	0.01151	0.00082	0.09274	0.02625	0.00123	0.90726	0.02625	0.00123	0.08517	0.01932	0.00106	0.91483	0.01932	0.00106	0.09021	0.02169	0.00112	-0.00626	0.01682	0.00590
Leland_Harris	508	13.73388	1.09121	0.00817	0.95532	0.01063	0.00081	0.06961	0.02364	0.00120	0.93039	0.02364	0.00120	0.06410	0.01747	0.00103	0.93590	0.01747	0.00103	0.06661	0.01886	0.00107	-0.00656	0.01459	0.00817
Copilot	118	13.60225	1.02749	0.00837	0.95619	0.01000	0.00083	0.07260	0.02474	0.00130	0.92740	0.02474	0.00130	0.06378	0.01634	0.00105	0.93622	0.01634	0.00105	0.06632	0.01768	0.00110	-0.01458	0.01263	0.00837
Mills_Valley	86	7.57065	0.24503	0.00420	0.95972	0.01020	0.00086	0.06824	0.02951	0.00146	0.93176	0.02951	0.00146	0.05693	0.01691	0.00110	0.94307	0.01691	0.00110	0.06106	0.01946	0.00118	-0.01633	0.01930	0.00420
Lower_Rocky	249	13.30911	0.57840	0.00605	0.95854	0.01054	0.00082	0.06370	0.02285	0.00120	0.93630	0.02285	0.00120	0.05841	0.01705	0.00104	0.94159	0.01705	0.00104	0.06075	0.01845	0.00108	-0.00634	0.01159	0.00605
Rosebud_Top_P	98	13.22739	0.60389	0.00640	0.95811	0.00945	0.00080	0.06565	0.02045	0.00118	0.93435	0.02045	0.00118	0.06137	0.01591	0.00104	0.93863	0.01591	0.00104	0.06384	0.01723	0.00108	-0.00384	0.01241	0.00640
Jail_Pond	121	13.19703	0.59825	0.00629	0.95304	0.01122	0.00086	0.07070	0.02304	0.00123	0.92930	0.02304	0.00123	0.06707	0.01865	0.00111	0.93293	0.01865	0.00111	0.06977	0.02018	0.00116	-0.00189	0.01373	0.00629
Mona	15	12.57602	0.34122	0.00762	0.98329	0.00309	0.00072	0.03044	0.01004	0.00131	0.96956	0.01004	0.00131	0.02668	0.00600	0.00101	0.97332	0.00600	0.00101	0.02780	0.00652	0.00105	-0.00400	0.00967	0.00762
Cluster	355	14.07143	1.03640	0.00780	0.95228	0.01077	0.00080	0.07459	0.02354	0.00118	0.92541	0.02354	0.00118	0.06936	0.01780	0.00102	0.93064	0.01780	0.00102	0.07200	0.01919	0.00106	-0.00533	0.01476	0.00780
Big_Springs	552	14.14283	0.94537	0.00709	0.94704	0.01243	0.00081	0.07981	0.02617	0.00118	0.92019	0.02617	0.00118	0.07544	0.02022	0.00104	0.92456	0.02022	0.00104	0.07829	0.02178	0.00108	-0.00244	0.01935	0.00709
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Bishop	181	9694749	12447	4432	0.04572	13.65887	1.29415	0.00037	0.99994	0.00002	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00037
Red_Knolls	270	9518182	12218	4022	0.04226	13.57315	1.23019	0.00036	0.99994	0.00001	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00002	0.00002	0.00036
Clear_Lake	150	9526790	12295	4701	0.04935	13.63802	1.29152	0.00037	0.99994	0.00001	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00037
Willow_Pond	255	10268033	13529	5448	0.05306	13.67313	1.23052	0.00035	0.99993	0.00002	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00010	0.00003	0.00000	0.99990	0.00003	0.00000	0.00011	0.00003	0.00000	-0.00000	0.00002	0.00035
Gandy	307	10701395	13875	4715	0.04406	13.76072	1.24603	0.00034	0.99993	0.00002	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00010	0.00003	0.00000	0.99990	0.00003	0.00000	0.00010	0.00003	0.00000	-0.00001	0.00002	0.00034
Keg_Springs	333	10753782	14473	4526	0.04209	7.60033	0.25031	0.00015	0.99992	0.00002	0.00000	0.00012	0.00005	0.00000	0.99988	0.00005	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00012	0.00004	0.00000	0.00000	0.00003	0.00015
Tooele_Army	547	13202907	17291	6517	0.04936	9.31449	0.59753	0.00021	0.99992	0.00002	0.00000	0.00012	0.00005	0.00000	0.99988	0.00005	0.00000	0.00011	0.00003	0.00000	0.99989	0.00003	0.00000	0.00012	0.00004	0.00000	-0.00001	0.00002	0.00021
Leland_Harris	508	12232972	16331	4593	0.03755	13.78548	1.10105	0.00030	0.99994	0.00002	0.00000	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00030
Copilot	118	10780762	14680	4483	0.04158	13.65612	1.07722	0.00032	0.99994	0.00002	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00002	0.00002	0.00032
Mills_Valley	86	10367035	13886	2680	0.02585	7.57335	0.25484	0.00016	0.99995	0.00002	0.00000	0.00009	0.00005	0.00000	0.99991	0.00005	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	-0.00002	0.00003	0.00016
Lower_Rocky	249	11496017	15784	3713	0.03230	13.34021	0.60291	0.00023	0.99994	0.00002	0.00000	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	-0.00001	0.00002	0.00023
Rosebud_Top_P	98	10636718	14728	4153	0.03904	13.22764	0.64380	0.00025	0.99994	0.00002	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00025
Jail_Pond	121	11266188	15109	4024	0.03572	13.19361	0.63736	0.00024	0.99994	0.00002	0.00000	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00000	0.00002	0.00024
Mona	15	4635710	5880	919	0.01982	12.57718	0.41027	0.00030	0.99998	0.00000	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	-0.00001	0.00001	0.00030
Cluster	355	12164162	17037	5349	0.04397	14.09898	1.07770	0.00030	0.99993	0.00002	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00010	0.00003	0.00000	0.99990	0.00003	0.00000	0.00010	0.00003	0.00000	-0.00001	0.00002	0.00030
Big_Springs	552	13780249	18819	5785	0.04198	14.20597	0.96049	0.00026	0.99993	0.00002	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00011	0.00004	0.00000	-0.00000	0.00003	0.00026
