# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
4	Gandy	Tooele_Army	un	108	107	0.155102041	4.89474	0.47427	50.51691	0.68973	0.06250	-1.00000	-1.00000
16	Gandy	Tooele_Army	un	1721	57	0.255319149	0.30952	0.03212	2.98268	0.50931	0.04762	-1.00000	-1.00000
37	Gandy	Tooele_Army	un	6631	133	0.015726179	10.33333	1.10689	96.46635	1.01424	0.15152	-1.00000	-1.00000
40	Gandy	Tooele_Army	un	7331	44	0.066450817	0.19048	0.02118	1.71314	0.72016	0.08306	-1.00000	-1.00000
41	Gandy	Tooele_Army	un	8101	57	1.000000000	1.42105	0.08358	24.16034	0.15261	0.00124	-1.00000	-1.00000
42	Gandy	Tooele_Army	un	8936	63	0.000370736	20.45455	2.30220	181.73434	1.31079	0.31373	-1.00000	-1.00000
43	Gandy	Tooele_Army	un	9701	8	1.000000000	0.68421	0.05774	8.10779	0.16481	0.00190	-1.00000	-1.00000
64	Gandy	Tooele_Army	un	18638	19	0.066450817	0.19048	0.02118	1.71314	0.72016	0.08306	-1.00000	-1.00000
86	Gandy	Tooele_Army	un	25792	218	0.400000000	3.12500	0.26139	37.35983	0.49485	0.03846	-1.00000	-1.00000
88	Gandy	Tooele_Army	un	27206	25	0.400000000	3.10000	0.26341	36.48290	0.49136	0.03061	-1.00000	-1.00000
89	Gandy	Tooele_Army	un	28067	106	0.000005973	36.11111	4.11481	316.90689	1.55764	0.45000	-1.00000	-1.00000
99	Gandy	Tooele_Army	un	31104	51	0.000008396	30.69231	3.65998	257.38312	1.48703	0.37500	-1.00000	-1.00000
102	Gandy	Tooele_Army	un	31854	31	0.416666667	2.90000	0.24599	34.18835	0.46240	0.02979	-1.00000	-1.00000
104	Gandy	Tooele_Army	un	32774	102	0.002988528	0.08571	0.00999	0.73578	1.06695	0.18711	-1.00000	-1.00000
115	Gandy	Tooele_Army	un	35910	111	0.375000000	3.44444	0.29142	40.71224	0.53712	0.03546	-1.00000	-1.00000
125	Gandy	Tooele_Army	un	39342	238	0.113966011	0.20000	0.02149	1.86118	0.69897	0.08333	-1.00000	-1.00000
148	Gandy	Tooele_Army	un	44468	150	0.156567993	0.28421	0.03069	2.63216	0.54636	0.05455	-1.00000	-1.00000
159	Gandy	Tooele_Army	un	48363	90	0.497584541	0.39683	0.03836	4.10470	0.40140	0.03497	-1.00000	-1.00000
162	Gandy	Tooele_Army	un	49855	13	0.012766938	6.00000	1.45827	24.68677	0.77815	0.16667	-1.00000	-1.00000
165	Gandy	Tooele_Army	un	50702	14	0.510204082	0.46032	0.04470	4.73989	0.33694	0.02778	-1.00000	-1.00000
173	Gandy	Tooele_Army	un	54225	112	0.008891146	8.33333	1.77325	39.16220	0.92082	0.19048	-1.00000	-1.00000
187	Gandy	Tooele_Army	un	57579	184	1.000000000	0.63158	0.05317	7.50277	0.19957	0.01829	-1.00000	-1.00000
189	Gandy	Tooele_Army	un	58637	427	0.428571429	2.77778	0.23360	33.03049	0.44370	0.03252	-1.00000	-1.00000
203	Gandy	Tooele_Army	un	62314	109	0.019316635	4.66667	1.29925	16.76181	0.66901	0.13333	-1.00000	-1.00000
205	Gandy	Tooele_Army	un	64125	207	1.000000000	1.53333	0.08895	26.43282	0.18564	0.00219	-1.00000	-1.00000
217	Gandy	Tooele_Army	un	65971	497	0.409090909	3.00000	0.25287	35.59098	0.47712	0.03359	-1.00000	-1.00000
228	Gandy	Tooele_Army	un	69458	94	0.492600423	0.36508	0.03519	3.78714	0.43761	0.03968	-1.00000	-1.00000
235	Gandy	Tooele_Army	un	70780	89	0.140034737	0.25714	0.02789	2.37119	0.58983	0.05797	-1.00000	-1.00000
243	Gandy	Tooele_Army	un	74263	463	0.183574879	4.26316	0.41145	44.17183	0.62973	0.05909	-1.00000	-1.00000
247	Gandy	Tooele_Army	un	77020	32	0.047178538	7.75000	0.79836	75.23236	0.88930	0.11111	-1.00000	-1.00000
252	Gandy	Tooele_Army	un	80971	123	1.000000000	0.76471	0.06422	9.10531	0.11651	0.01501	-1.00000	-1.00000
265	Gandy	Tooele_Army	un	85962	157	1.000000000	1.31579	0.07724	22.41565	0.11919	0.00079	-1.00000	-1.00000
267	Gandy	Tooele_Army	un	86713	63	0.001448304	15.42857	1.74965	136.05054	1.18833	0.23333	-1.00000	-1.00000
281	Gandy	Tooele_Army	un	93273	58	1.000000000	0.63158	0.05317	7.50277	0.19957	0.01829	-1.00000	-1.00000
283	Gandy	Tooele_Army	un	94055	80	0.067814698	0.17293	0.01952	1.53235	0.76212	0.09643	-1.00000	-1.00000
288	Gandy	Tooele_Army	un	95744	131	0.013423164	0.14286	0.02783	0.73327	0.84510	0.13333	-1.00000	-1.00000
291	Gandy	Tooele_Army	un	97374	44	1.000000000	0.71429	0.06076	8.39765	0.14613	0.01361	-1.00000	-1.00000
300	Gandy	Tooele_Army	un	101561	196	0.497584541	0.39683	0.03836	4.10470	0.40140	0.03497	-1.00000	-1.00000
308	Gandy	Tooele_Army	un	103041	99	0.336073777	0.47222	0.12104	1.84239	0.32585	0.02589	-1.00000	-1.00000
327	Gandy	Tooele_Army	un	109093	53	0.028717327	0.14286	0.01613	1.26488	0.84510	0.11538	-1.00000	-1.00000
330	Gandy	Tooele_Army	un	110500	63	0.613881297	1.85714	0.23555	14.64245	0.26885	0.00804	-1.00000	-1.00000
332	Gandy	Tooele_Army	un	112079	14	0.009472130	6.60000	1.62103	26.87187	0.81954	0.18798	-1.00000	-1.00000
337	Gandy	Tooele_Army	un	113695	43	0.760027147	1.36364	0.40749	4.56336	0.13470	0.00577	-1.00000	-1.00000
339	Gandy	Tooele_Army	un	115463	139	0.058163265	6.88889	0.71384	66.48139	0.83815	0.09574	-1.00000	-1.00000
342	Gandy	Tooele_Army	un	117040	109	0.005003784	13.28571	1.45874	121.00167	1.12338	0.19380	-1.00000	-1.00000
349	Gandy	Tooele_Army	un	119989	603	0.400000000	3.12500	0.26139	37.35983	0.49485	0.03846	-1.00000	-1.00000
376	Gandy	Tooele_Army	un	125425	47	1.000000000	1.66667	0.09691	28.66395	0.22185	0.00300	-1.00000	-1.00000
407	Gandy	Tooele_Army	un	136844	150	0.428571429	2.77778	0.23360	33.03049	0.44370	0.03252	-1.00000	-1.00000
409	Gandy	Tooele_Army	un	137656	110	0.000811811	9.28571	2.45827	35.07526	0.96782	0.24334	-1.00000	-1.00000
422	Gandy	Tooele_Army	un	142324	20	0.613704503	0.36842	0.03525	3.85059	0.43366	0.01687	-1.00000	-1.00000
423	Gandy	Tooele_Army	un	143301	127	0.562904718	3.00000	0.25287	35.59098	0.47712	0.01714	-1.00000	-1.00000
429	Gandy	Tooele_Army	un	147303	122	1.000000000	1.21154	0.35055	4.18717	0.08334	0.00200	-1.00000	-1.00000
432	Gandy	Tooele_Army	un	148294	300	1.000000000	0.68421	0.05774	8.10779	0.16481	0.01610	-1.00000	-1.00000
434	Gandy	Tooele_Army	un	148917	37	0.278926760	2.78571	0.67183	11.55090	0.44494	0.04167	-1.00000	-1.00000
440	Gandy	Tooele_Army	un	150994	463	0.428571429	2.77778	0.23360	33.03049	0.44370	0.03252	-1.00000	-1.00000
442	Gandy	Tooele_Army	un	151527	140	0.140034737	0.25714	0.02789	2.37119	0.58983	0.05797	-1.00000	-1.00000
443	Gandy	Tooele_Army	un	152563	395	0.161733615	4.76471	0.45753	49.62001	0.67804	0.06878	-1.00000	-1.00000
450	Gandy	Tooele_Army	un	155966	67	0.002439163	14.46667	1.62859	128.50635	1.16037	0.20455	-1.00000	-1.00000
457	Gandy	Tooele_Army	un	157621	149	0.261538462	0.32353	0.03306	3.16595	0.49009	0.05405	-1.00000	-1.00000
459	Gandy	Tooele_Army	un	158454	104	0.503546099	0.42857	0.04153	4.42229	0.36798	0.03106	-1.00000	-1.00000
461	Gandy	Tooele_Army	un	159023	12	0.742926263	1.26374	0.33288	4.79757	0.10166	0.00247	-1.00000	-1.00000
468	Gandy	Tooele_Army	un	160555	32	0.091493271	0.22222	0.04283	1.15289	0.65321	0.07164	-1.00000	-1.00000
488	Gandy	Tooele_Army	un	168878	44	0.265306122	0.33333	0.03467	3.20464	0.47712	0.04255	-1.00000	-1.00000
489	Gandy	Tooele_Army	un	169622	26	0.155102041	4.89474	0.47427	50.51691	0.68973	0.06250	-1.00000	-1.00000
493	Gandy	Tooele_Army	un	170517	99	0.400000000	3.10000	0.26341	36.48290	0.49136	0.03061	-1.00000	-1.00000
499	Gandy	Tooele_Army	un	172669	20	0.375000000	3.44444	0.29142	40.71224	0.53712	0.03546	-1.00000	-1.00000
501	Gandy	Tooele_Army	un	173560	111	1.000000000	0.71429	0.06076	8.39765	0.14613	0.01361	-1.00000	-1.00000
504	Gandy	Tooele_Army	un	174383	134	0.000000012	85.00000	9.10587	793.44458	1.92942	0.68571	-1.00000	-1.00000
505	Gandy	Tooele_Army	un	175415	336	0.363636364	3.62500	0.30452	43.15254	0.55931	0.04070	-1.00000	-1.00000
506	Gandy	Tooele_Army	un	175912	18	0.002486782	0.05882	0.00679	0.50924	1.23045	0.22011	-1.00000	-1.00000
507	Gandy	Tooele_Army	un	176777	55	0.760027147	1.36364	0.40749	4.56336	0.13470	0.00577	-1.00000	-1.00000
510	Gandy	Tooele_Army	un	177655	100	0.377230078	2.47059	0.37399	16.32091	0.39280	0.01852	-1.00000	-1.00000
514	Gandy	Tooele_Army	un	178397	49	0.067064497	0.17647	0.01974	1.57796	0.75333	0.10256	-1.00000	-1.00000
535	Gandy	Tooele_Army	un	184614	424	0.380952381	3.37500	0.28295	40.25613	0.52827	0.03963	-1.00000	-1.00000
539	Gandy	Tooele_Army	un	187050	338	1.000000000	1.58824	0.09303	27.11623	0.20091	0.00225	-1.00000	-1.00000
540	Gandy	Tooele_Army	un	187543	29	0.492600423	0.36508	0.03519	3.78714	0.43761	0.03968	-1.00000	-1.00000
556	Gandy	Tooele_Army	un	195687	80	0.009054467	10.87500	1.20104	98.46931	1.03643	0.16279	-1.00000	-1.00000
558	Gandy	Tooele_Army	un	196532	58	0.147826087	5.11765	0.49245	53.18404	0.70907	0.07071	-1.00000	-1.00000
565	Gandy	Tooele_Army	un	198117	78	0.347826087	3.87500	0.32608	46.04903	0.58827	0.04167	-1.00000	-1.00000
581	Gandy	Tooele_Army	un	204260	23	0.128420243	3.83333	0.81219	18.09245	0.58358	0.07057	-1.00000	-1.00000
602	Gandy	Tooele_Army	un	208679	62	0.682985275	0.51111	0.08864	2.94718	0.29148	0.01205	-1.00000	-1.00000
614	Gandy	Tooele_Army	un	214459	61	1.000000000	0.82353	0.06931	9.78484	0.08432	0.01329	-1.00000	-1.00000
615	Gandy	Tooele_Army	un	215338	133	0.000000000	589.00000	34.75604	9981.60352	2.77012	1.00000	-1.00000	-1.00000
