# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Mona	26	4.00000	0.00000	0.00000	0.96195	0.01045	0.00109	0.07105	0.03640	0.00204	0.92895	0.03640	0.00204	0.05231	0.01685	0.00139	0.94769	0.01685	0.00139	0.05978	0.02200	0.00159	-0.02158	0.01327	0.00000
Big_Springs	541	14.13400	0.95272	0.00715	0.94587	0.01269	0.00083	0.08155	0.02675	0.00120	0.91845	0.02675	0.00120	0.07701	0.02057	0.00105	0.92299	0.02057	0.00105	0.07992	0.02215	0.00109	-0.00267	0.01987	0.00715
Bishop	140	13.14481	0.66174	0.00787	0.95607	0.00881	0.00091	0.07162	0.02065	0.00139	0.92838	0.02065	0.00139	0.06638	0.01536	0.00120	0.93362	0.01536	0.00120	0.06910	0.01666	0.00125	-0.00533	0.01441	0.00787
Clear_Lake	165	13.67871	1.25305	0.01020	0.95272	0.00896	0.00086	0.07911	0.02235	0.00136	0.92089	0.02235	0.00136	0.07217	0.01552	0.00114	0.92783	0.01552	0.00114	0.07503	0.01680	0.00118	-0.00859	0.01636	0.01020
Cluster	359	14.06373	1.04158	0.00787	0.95127	0.01095	0.00081	0.07612	0.02386	0.00119	0.92388	0.02386	0.00119	0.07083	0.01807	0.00104	0.92917	0.01807	0.00104	0.07352	0.01948	0.00108	-0.00531	0.01507	0.00787
Copilot	108	13.22460	0.61824	0.00665	0.95583	0.00993	0.00084	0.07311	0.02432	0.00132	0.92689	0.02432	0.00132	0.06458	0.01637	0.00108	0.93542	0.01637	0.00108	0.06719	0.01774	0.00113	-0.01401	0.01213	0.00665
Gandy	329	13.77722	1.21530	0.00945	0.94720	0.01158	0.00092	0.08276	0.02535	0.00136	0.91724	0.02535	0.00136	0.07686	0.01913	0.00118	0.92314	0.01913	0.00118	0.07988	0.02068	0.00123	-0.00687	0.01550	0.00945
Jail_Pond	104	13.19385	0.59920	0.00634	0.95213	0.01143	0.00088	0.07204	0.02349	0.00126	0.92796	0.02349	0.00126	0.06831	0.01897	0.00113	0.93169	0.01897	0.00113	0.07105	0.02053	0.00117	-0.00198	0.01410	0.00634
Keg_Springs	345	7.58785	0.24230	0.00412	0.94139	0.01286	0.00095	0.08906	0.02748	0.00139	0.91094	0.02748	0.00139	0.08464	0.02141	0.00122	0.91536	0.02141	0.00122	0.09071	0.02459	0.00131	0.00351	0.02262	0.00412
Leland_Harris	526	13.72898	1.09400	0.00823	0.95442	0.01079	0.00082	0.07107	0.02404	0.00122	0.92893	0.02404	0.00122	0.06542	0.01772	0.00105	0.93458	0.01772	0.00105	0.06797	0.01913	0.00109	-0.00681	0.01493	0.00823
Lower_Rocky	250	13.30348	0.58140	0.00611	0.95766	0.01072	0.00083	0.06505	0.02325	0.00122	0.93495	0.02325	0.00122	0.05965	0.01733	0.00106	0.94035	0.01733	0.00106	0.06205	0.01875	0.00110	-0.00641	0.01193	0.00611
Mills_Valley	88	7.56803	0.24539	0.00424	0.95891	0.01033	0.00087	0.06962	0.02989	0.00148	0.93038	0.02989	0.00148	0.05814	0.01718	0.00112	0.94186	0.01718	0.00112	0.06236	0.01977	0.00120	-0.01659	0.01953	0.00424
Red_Knolls	298	11.13324	0.64267	0.00711	0.94804	0.01079	0.00092	0.08492	0.02585	0.00143	0.91508	0.02585	0.00143	0.07695	0.01854	0.00121	0.92305	0.01854	0.00121	0.08070	0.02040	0.00127	-0.01078	0.01522	0.00711
Rosebud_Top_P	106	13.22058	0.60581	0.00646	0.95721	0.00960	0.00081	0.06707	0.02072	0.00120	0.93293	0.02072	0.00120	0.06272	0.01615	0.00105	0.93728	0.01615	0.00105	0.06524	0.01749	0.00110	-0.00387	0.01259	0.00646
Tooele_Army	545	9.23684	0.60308	0.00594	0.94156	0.01168	0.00083	0.09452	0.02671	0.00125	0.90548	0.02671	0.00125	0.08669	0.01957	0.00107	0.91331	0.01957	0.00107	0.09182	0.02196	0.00113	-0.00667	0.01714	0.00594
Willow_Pond	230	12.12578	0.65100	0.00714	0.94626	0.01052	0.00091	0.08581	0.02340	0.00135	0.91419	0.02340	0.00135	0.08067	0.01787	0.00118	0.91933	0.01787	0.00118	0.08425	0.01950	0.00124	-0.00248	0.01824	0.00714
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Mona	26	6898451	8726	1357	0.01967	3.99818	0.00418	0.00002	0.99995	0.00002	0.00000	0.00009	0.00005	0.00000	0.99991	0.00005	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00008	0.00003	0.00000	-0.00003	0.00002	0.00002
Big_Springs	541	13790640	18620	5823	0.04222	14.20394	0.97366	0.00027	0.99993	0.00002	0.00000	0.00011	0.00005	0.00000	0.99989	0.00005	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00011	0.00004	0.00000	-0.00000	0.00003	0.00027
Bishop	140	8407653	10676	3572	0.04249	13.10234	0.73881	0.00030	0.99994	0.00001	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00030
Clear_Lake	165	9528624	12042	4646	0.04876	13.63558	1.31428	0.00037	0.99994	0.00001	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00037
Cluster	359	12163833	16805	5384	0.04426	14.09747	1.09358	0.00030	0.99993	0.00002	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00010	0.00003	0.00000	0.99990	0.00003	0.00000	0.00010	0.00003	0.00000	-0.00001	0.00002	0.00030
Copilot	108	10362623	13994	4317	0.04166	13.25243	0.66150	0.00025	0.99994	0.00002	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00002	0.00002	0.00025
Gandy	329	10702027	13623	4742	0.04431	13.75895	1.26491	0.00034	0.99993	0.00002	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00010	0.00003	0.00000	0.99990	0.00003	0.00000	0.00010	0.00003	0.00000	-0.00001	0.00002	0.00034
Jail_Pond	104	11270791	14893	4007	0.03555	13.19208	0.65014	0.00024	0.99994	0.00002	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00000	0.00002	0.00024
Keg_Springs	345	10754809	14274	4559	0.04239	7.59957	0.25423	0.00015	0.99992	0.00002	0.00000	0.00012	0.00005	0.00000	0.99988	0.00005	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00012	0.00004	0.00000	0.00000	0.00003	0.00015
Leland_Harris	526	12237748	16143	4636	0.03788	13.78402	1.11214	0.00030	0.99994	0.00002	0.00000	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00030
Lower_Rocky	250	11497863	15563	3737	0.03250	13.33883	0.61538	0.00023	0.99994	0.00002	0.00000	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	-0.00001	0.00002	0.00023
Mills_Valley	88	10369347	13656	2692	0.02596	7.57245	0.25876	0.00016	0.99995	0.00002	0.00000	0.00009	0.00005	0.00000	0.99991	0.00005	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	-0.00002	0.00003	0.00016
Red_Knolls	298	9921449	12714	4253	0.04287	11.13290	0.68554	0.00026	0.99993	0.00002	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00010	0.00003	0.00000	0.99990	0.00003	0.00000	0.00010	0.00003	0.00000	-0.00001	0.00002	0.00026
Rosebud_Top_P	106	10638893	14512	4188	0.03936	13.22599	0.65829	0.00025	0.99994	0.00002	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00025
Tooele_Army	545	13210465	17092	6540	0.04951	9.31328	0.60320	0.00021	0.99992	0.00002	0.00000	0.00012	0.00005	0.00000	0.99988	0.00005	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00012	0.00004	0.00000	-0.00001	0.00002	0.00021
Willow_Pond	230	9778578	12784	5008	0.05121	12.13150	0.68906	0.00027	0.99993	0.00002	0.00000	0.00011	0.00004	0.00000	0.99989	0.00004	0.00000	0.00011	0.00003	0.00000	0.99989	0.00003	0.00000	0.00011	0.00003	0.00000	-0.00000	0.00002	0.00027
