# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
4	Jail_Pond	Tooele_Army	un	108	107	0.562904718	3.00000	0.25287	35.59098	0.47712	0.01714	-1.00000	-1.00000
27	Jail_Pond	Tooele_Army	un	2972	494	0.428571429	2.77778	0.23360	33.03049	0.44370	0.03252	-1.00000	-1.00000
37	Jail_Pond	Tooele_Army	un	6631	133	0.730591755	0.69388	0.16812	2.86376	0.15872	0.00611	-1.00000	-1.00000
41	Jail_Pond	Tooele_Army	un	8101	57	1.000000000	1.21053	0.07089	20.67103	0.08297	0.00040	-1.00000	-1.00000
42	Jail_Pond	Tooele_Army	un	8936	63	0.761175343	1.28000	0.37786	4.33599	0.10721	0.00358	-1.00000	-1.00000
43	Jail_Pond	Tooele_Army	un	9701	8	0.621595122	0.40351	0.03874	4.20303	0.39415	0.01323	-1.00000	-1.00000
46	Jail_Pond	Tooele_Army	un	11314	66	0.763341050	0.80952	0.23147	2.83115	0.09177	0.00238	-1.00000	-1.00000
55	Jail_Pond	Tooele_Army	un	14560	58	1.000000000	1.05882	0.20937	5.35459	0.02482	0.00010	-1.00000	-1.00000
66	Jail_Pond	Tooele_Army	un	17972	126	0.742166301	1.35714	0.36684	5.02077	0.13263	0.00477	-1.00000	-1.00000
86	Jail_Pond	Tooele_Army	un	24189	238	0.553036437	3.28571	0.27221	39.65956	0.51663	0.02402	-1.00000	-1.00000
115	Jail_Pond	Tooele_Army	un	33548	111	1.000000000	0.76471	0.06422	9.10531	0.11651	0.00098	-1.00000	-1.00000
131	Jail_Pond	Tooele_Army	un	37459	66	0.197693968	0.20000	0.02131	1.87728	0.69897	0.05278	-1.00000	-1.00000
144	Jail_Pond	Tooele_Army	un	40544	47	1.000000000	1.04082	0.28372	3.81825	0.01737	0.00008	-1.00000	-1.00000
170	Jail_Pond	Tooele_Army	un	49047	93	0.461993760	1.92308	0.43396	8.52202	0.28400	0.01796	-1.00000	-1.00000
172	Jail_Pond	Tooele_Army	un	50353	129	0.260693653	3.00000	0.64178	14.02347	0.47712	0.04667	-1.00000	-1.00000
173	Jail_Pond	Tooele_Army	un	50992	112	0.327191880	2.25000	0.62179	8.14186	0.35218	0.03698	-1.00000	-1.00000
203	Jail_Pond	Tooele_Army	un	57474	109	0.755706890	0.68571	0.19833	2.37083	0.16386	0.00776	-1.00000	-1.00000
227	Jail_Pond	Tooele_Army	un	62267	154	0.534738574	0.60000	0.16790	2.14418	0.22185	0.01299	-1.00000	-1.00000
240	Jail_Pond	Tooele_Army	un	66653	32	1.000000000	0.84000	0.17349	4.06719	0.07572	0.00107	-1.00000	-1.00000
244	Jail_Pond	Tooele_Army	un	68413	171	1.000000000	1.31579	0.07724	22.41565	0.11919	0.00079	-1.00000	-1.00000
261	Jail_Pond	Tooele_Army	un	76932	34	1.000000000	0.73684	0.06231	8.71284	0.13263	0.01429	-1.00000	-1.00000
267	Jail_Pond	Tooele_Army	un	78698	63	0.521959323	1.61538	0.43889	5.94556	0.20828	0.01191	-1.00000	-1.00000
280	Jail_Pond	Tooele_Army	un	83594	99	0.016260163	10.38461	1.09814	98.20293	1.01639	0.17105	-1.00000	-1.00000
288	Jail_Pond	Tooele_Army	un	86798	131	0.000925950	12.36364	2.36467	64.64298	1.09215	0.24173	-1.00000	-1.00000
292	Jail_Pond	Tooele_Army	un	89298	118	1.000000000	0.94545	0.27678	3.22963	0.02436	0.00019	-1.00000	-1.00000
298	Jail_Pond	Tooele_Army	un	90062	110	0.364001267	0.50000	0.14637	1.70804	0.30103	0.02692	-1.00000	-1.00000
308	Jail_Pond	Tooele_Army	un	93350	99	1.000000000	1.15000	0.26668	4.95906	0.06070	0.00073	-1.00000	-1.00000
332	Jail_Pond	Tooele_Army	un	102388	14	1.000000000	0.81818	0.22084	3.03121	0.08715	0.00205	-1.00000	-1.00000
339	Jail_Pond	Tooele_Army	un	105772	139	0.476169306	0.47899	0.10661	2.15206	0.31967	0.02053	-1.00000	-1.00000
341	Jail_Pond	Tooele_Army	un	106727	319	1.000000000	0.57895	0.04859	6.89777	0.23736	0.00434	-1.00000	-1.00000
342	Jail_Pond	Tooele_Army	un	107349	109	0.720095330	1.46154	0.35106	6.08479	0.16481	0.00651	-1.00000	-1.00000
356	Jail_Pond	Tooele_Army	un	112579	192	1.000000000	0.76471	0.06422	9.10531	0.11651	0.01501	-1.00000	-1.00000
363	Jail_Pond	Tooele_Army	un	114454	331	0.513043478	0.47368	0.04572	4.90798	0.32451	0.02922	-1.00000	-1.00000
376	Jail_Pond	Tooele_Army	un	115734	47	0.380952381	3.37500	0.28295	40.25613	0.52827	0.03963	-1.00000	-1.00000
409	Jail_Pond	Tooele_Army	un	127184	110	0.168927861	2.96154	0.72530	12.09260	0.47152	0.05197	-1.00000	-1.00000
423	Jail_Pond	Tooele_Army	un	131236	127	1.000000000	1.44444	0.18594	11.22106	0.15970	0.00260	-1.00000	-1.00000
427	Jail_Pond	Tooele_Army	un	133622	100	0.494851092	1.83333	0.48371	6.94856	0.26324	0.01751	-1.00000	-1.00000
429	Jail_Pond	Tooele_Army	un	134479	122	0.314031234	2.26154	0.59218	8.63679	0.35440	0.03169	-1.00000	-1.00000
434	Jail_Pond	Tooele_Army	un	136093	37	0.260693653	3.00000	0.64178	14.02347	0.47712	0.04667	-1.00000	-1.00000
450	Jail_Pond	Tooele_Army	un	142418	67	0.364001267	0.50000	0.14637	1.70804	0.30103	0.02692	-1.00000	-1.00000
459	Jail_Pond	Tooele_Army	un	145097	295	1.000000000	0.73684	0.06231	8.71284	0.13263	0.01429	-1.00000	-1.00000
461	Jail_Pond	Tooele_Army	un	145475	12	1.000000000	1.04396	0.27141	4.01553	0.01868	0.00009	-1.00000	-1.00000
468	Jail_Pond	Tooele_Army	un	146332	32	0.183574879	4.26316	0.41145	44.17183	0.62973	0.05909	-1.00000	-1.00000
477	Jail_Pond	Tooele_Army	un	148856	86	0.738319446	1.50000	0.40846	5.50846	0.17609	0.00816	-1.00000	-1.00000
479	Jail_Pond	Tooele_Army	un	149722	113	0.665556151	1.66667	0.29737	9.34122	0.22185	0.00744	-1.00000	-1.00000
487	Jail_Pond	Tooele_Army	un	152891	13	0.238900634	0.26190	0.02702	2.53880	0.58186	0.06098	-1.00000	-1.00000
489	Jail_Pond	Tooele_Army	un	154532	26	0.571805007	2.77778	0.23360	33.03049	0.44370	0.01527	-1.00000	-1.00000
493	Jail_Pond	Tooele_Army	un	155655	327	1.000000000	0.87500	0.13038	5.87230	0.05799	0.00045	-1.00000	-1.00000
499	Jail_Pond	Tooele_Army	un	156934	102	0.505877965	0.57143	0.14116	2.31320	0.24304	0.01481	-1.00000	-1.00000
507	Jail_Pond	Tooele_Army	un	160960	55	0.228755547	2.22078	0.64540	7.64158	0.34651	0.03540	-1.00000	-1.00000
510	Jail_Pond	Tooele_Army	un	161838	100	0.487970664	0.52941	0.11859	2.36337	0.27621	0.01474	-1.00000	-1.00000
519	Jail_Pond	Tooele_Army	un	164289	144	0.393025698	2.77778	0.53473	14.42980	0.44370	0.03530	-1.00000	-1.00000
537	Jail_Pond	Tooele_Army	un	169242	38	1.000000000	0.90909	0.27778	2.97517	0.04139	0.00054	-1.00000	-1.00000
542	Jail_Pond	Tooele_Army	un	171706	18	0.766693060	0.80000	0.23942	2.67312	0.09691	0.00299	-1.00000	-1.00000
552	Jail_Pond	Tooele_Army	un	176104	332	1.000000000	0.68421	0.05774	8.10779	0.16481	0.01610	-1.00000	-1.00000
556	Jail_Pond	Tooele_Army	un	178313	80	1.000000000	1.11111	0.28443	4.34052	0.04576	0.00050	-1.00000	-1.00000
574	Jail_Pond	Tooele_Army	un	183912	92	0.229005619	3.18182	0.63820	15.86331	0.50268	0.05273	-1.00000	-1.00000
581	Jail_Pond	Tooele_Army	un	186886	23	0.231825852	2.30769	0.67476	7.89230	0.36318	0.03932	-1.00000	-1.00000
602	Jail_Pond	Tooele_Army	un	191305	62	1.000000000	0.77778	0.11671	5.18331	0.10914	0.00154	-1.00000	-1.00000
616	Jail_Pond	Tooele_Army	un	197816	22	0.773861331	1.22222	0.37963	3.93496	0.08715	0.00246	-1.00000	-1.00000
627	Jail_Pond	Tooele_Army	un	203088	506	0.027338515	8.33333	0.88674	78.31429	0.92082	0.14035	-1.00000	-1.00000
631	Jail_Pond	Tooele_Army	un	204316	134	0.075098814	6.00000	0.61922	58.13787	0.77815	0.09070	-1.00000	-1.00000
635	Jail_Pond	Tooele_Army	un	204995	70	0.160266994	0.27778	0.05202	1.48339	0.55630	0.05083	-1.00000	-1.00000
641	Jail_Pond	Tooele_Army	un	208149	53	1.000000000	0.71429	0.11462	4.45129	0.14613	0.00327	-1.00000	-1.00000
654	Jail_Pond	Tooele_Army	un	211443	72	1.000000000	0.74118	0.15455	3.55448	0.13008	0.00306	-1.00000	-1.00000
661	Jail_Pond	Tooele_Army	un	213756	19	0.720931878	1.53333	0.37815	6.21747	0.18564	0.00752	-1.00000	-1.00000
666	Jail_Pond	Tooele_Army	un	216238	51	0.550169465	1.54545	0.46764	5.10737	0.18906	0.01113	-1.00000	-1.00000
668	Jail_Pond	Tooele_Army	un	217179	154	0.024899784	8.52941	0.91809	79.24176	0.93092	0.12727	-1.00000	-1.00000
699	Jail_Pond	Tooele_Army	un	230041	112	0.224976502	2.25000	0.64857	7.80559	0.35218	0.03771	-1.00000	-1.00000
734	Jail_Pond	Tooele_Army	un	240384	123	0.416666667	2.90000	0.24599	34.18835	0.46240	0.02979	-1.00000	-1.00000
747	Jail_Pond	Tooele_Army	un	244314	71	1.000000000	0.77778	0.11671	5.18331	0.10914	0.00154	-1.00000	-1.00000
749	Jail_Pond	Tooele_Army	un	245036	57	0.633704356	0.45098	0.04308	4.72138	0.34584	0.01047	-1.00000	-1.00000
753	Jail_Pond	Tooele_Army	un	245906	52	1.000000000	0.66667	0.10975	4.04957	0.17609	0.00408	-1.00000	-1.00000
756	Jail_Pond	Tooele_Army	un	247573	124	1.000000000	0.84848	0.25363	2.83853	0.07136	0.00155	-1.00000	-1.00000
768	Jail_Pond	Tooele_Army	un	251564	97	0.737557070	1.50000	0.40775	5.51815	0.17609	0.00850	-1.00000	-1.00000
770	Jail_Pond	Tooele_Army	un	252418	103	0.766693060	0.80000	0.23942	2.67312	0.09691	0.00299	-1.00000	-1.00000
773	Jail_Pond	Tooele_Army	un	254573	312	0.562904718	3.00000	0.25287	35.59098	0.47712	0.01714	-1.00000	-1.00000
780	Jail_Pond	Tooele_Army	un	256068	84	0.371214152	0.29412	0.02994	2.88917	0.53148	0.02883	-1.00000	-1.00000
785	Jail_Pond	Tooele_Army	un	258664	305	0.130126426	0.23810	0.02575	2.20118	0.62325	0.06494	-1.00000	-1.00000
788	Jail_Pond	Tooele_Army	un	259291	139	0.741599634	0.66667	0.17793	2.49781	0.17609	0.00827	-1.00000	-1.00000
793	Jail_Pond	Tooele_Army	un	261701	107	1.000000000	0.57895	0.04859	6.89777	0.23736	0.00434	-1.00000	-1.00000
802	Jail_Pond	Tooele_Army	un	265676	86	0.658011211	1.76923	0.31089	10.06833	0.24778	0.01002	-1.00000	-1.00000
812	Jail_Pond	Tooele_Army	un	268031	98	0.754009252	1.27273	0.35666	4.54170	0.10474	0.00329	-1.00000	-1.00000
