# Population Clear_Lake	2022_Clear_Lake_LTC1,2022_Clear_Lake_LTC10,2022_Clear_Lake_LTC11,2022_Clear_Lake_LTC12,2022_Clear_Lake_LTC13,2022_Clear_Lake_LTC14,2022_Clear_Lake_LTC15,2022_Clear_Lake_LTC2,2022_Clear_Lake_LTC3,2022_Clear_Lake_LTC4,2022_Clear_Lake_LTC5,2022_Clear_Lake_LTC6,2022_Clear_Lake_LTC7,2022_Clear_Lake_LTC8,2022_Clear_Lake_LTC9
# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Group defaultgrp	Clear_Lake,Willow_Pond
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
16	un	1664	0.00727	-1.00000	0.00300	-1.00000	0.00602	-1.00000
37	un	5711	0.02863	-1.00000	0.00648	-1.00000	0.00892	-1.00000
42	un	8086	-0.01957	-1.00000	-0.00265	-1.00000	0.00096	-1.00000
43	un	8906	-0.04000	-1.00000	-0.00666	-1.00000	-0.00356	-1.00000
48	un	12109	0.09920	-1.00000	0.01304	-1.00000	0.00770	-1.00000
58	un	15347	-0.03258	-1.00000	-0.01932	-1.00000	-0.02670	-1.00000
66	un	17841	-0.03641	-1.00000	-0.00561	-1.00000	-0.00566	-1.00000
99	un	27839	-0.03798	-1.00000	-0.01359	-1.00000	-0.02015	-1.00000
105	un	30265	0.08696	-1.00000	0.01227	-1.00000	0.05025	-1.00000
106	un	31004	-0.02909	-1.00000	-0.03039	-1.00000	0.03366	-1.00000
131	un	37412	0.06407	-1.00000	0.00815	-1.00000	0.00335	-1.00000
140	un	38946	-0.04348	-1.00000	-0.00790	-1.00000	0.00209	-1.00000
160	un	44341	-0.01877	-1.00000	-0.00233	-1.00000	-0.00263	-1.00000
162	un	45088	0.07091	-1.00000	0.07028	-1.00000	0.05212	-1.00000
165	un	45934	-0.00804	-1.00000	-0.00125	-1.00000	-0.00092	-1.00000
172	un	47995	-0.03686	-1.00000	-0.00591	-1.00000	-0.00098	-1.00000
173	un	48651	0.01840	-1.00000	0.01100	-1.00000	-0.01274	-1.00000
179	un	50265	-0.02408	-1.00000	-0.02225	-1.00000	0.02998	-1.00000
192	un	52702	-0.03279	-1.00000	-0.00386	-1.00000	-0.00364	-1.00000
246	un	67495	-0.01449	-1.00000	-0.00173	-1.00000	-0.00218	-1.00000
254	un	72245	-0.02913	-1.00000	-0.00330	-1.00000	-0.00315	-1.00000
261	un	74669	-0.03581	-1.00000	-0.00794	-1.00000	0.01432	-1.00000
273	un	78740	-0.01449	-1.00000	-0.00173	-1.00000	0.00559	-1.00000
280	un	79532	0.00317	-1.00000	0.00077	-1.00000	0.00031	-1.00000
286	un	81916	-0.03781	-1.00000	-0.02600	-1.00000	-0.02596	-1.00000
299	un	86894	0.08157	-1.00000	0.01401	-1.00000	0.01567	-1.00000
316	un	90964	0.01188	-1.00000	0.00232	-1.00000	-0.01693	-1.00000
322	un	93725	0.06024	-1.00000	0.00707	-1.00000	0.00760	-1.00000
330	un	95947	0.14452	-1.00000	0.03897	-1.00000	0.04132	-1.00000
356	un	107588	-0.02913	-1.00000	-0.00330	-1.00000	-0.00315	-1.00000
374	un	110123	-0.02868	-1.00000	-0.02828	-1.00000	-0.00485	-1.00000
380	un	111760	-0.04145	-1.00000	-0.00721	-1.00000	0.01376	-1.00000
409	un	119926	0.05553	-1.00000	0.00674	-1.00000	0.00760	-1.00000
427	un	126345	-0.04128	-1.00000	-0.01118	-1.00000	-0.01689	-1.00000
488	un	145740	-0.03731	-1.00000	-0.02747	-1.00000	-0.02528	-1.00000
493	un	147324	-0.04016	-1.00000	-0.03200	-1.00000	-0.00280	-1.00000
501	un	148882	0.04429	-1.00000	0.00935	-1.00000	0.00331	-1.00000
504	un	149682	-0.03809	-1.00000	-0.02909	-1.00000	-0.02898	-1.00000
506	un	151327	0.09920	-1.00000	0.01304	-1.00000	0.00770	-1.00000
510	un	152988	-0.03274	-1.00000	-0.02981	-1.00000	-0.04706	-1.00000
525	un	157033	0.09311	-1.00000	0.05158	-1.00000	0.04431	-1.00000
540	un	161256	0.01863	-1.00000	0.00370	-1.00000	0.00420	-1.00000
554	un	165438	0.09920	-1.00000	0.01304	-1.00000	0.00770	-1.00000
555	un	166263	-0.01449	-1.00000	-0.00173	-1.00000	0.00559	-1.00000
562	un	168728	-0.03951	-1.00000	-0.03795	-1.00000	-0.04498	-1.00000
606	un	180983	-0.02184	-1.00000	-0.00259	-1.00000	-0.00311	-1.00000
615	un	184222	-0.03688	-1.00000	-0.02452	-1.00000	-0.02203	-1.00000
619	un	186685	0.09920	-1.00000	0.01731	-1.00000	0.01818	-1.00000
625	un	187382	-0.01877	-1.00000	-0.00233	-1.00000	-0.00350	-1.00000
628	un	189042	0.01658	-1.00000	0.01523	-1.00000	0.00553	-1.00000
635	un	189855	-0.04414	-1.00000	-0.02855	-1.00000	-0.04420	-1.00000
692	un	208164	0.00840	-1.00000	0.00273	-1.00000	0.00461	-1.00000
694	un	208997	-0.01798	-1.00000	-0.00206	-1.00000	-0.00230	-1.00000
705	un	213790	-0.02235	-1.00000	-0.00580	-1.00000	0.00152	-1.00000
719	un	215411	-0.01798	-1.00000	-0.00206	-1.00000	-0.00230	-1.00000
724	un	217962	-0.01957	-1.00000	-0.00265	-1.00000	-0.01421	-1.00000
733	un	221820	0.00290	-1.00000	0.00054	-1.00000	0.02202	-1.00000
734	un	222613	0.02339	-1.00000	0.02292	-1.00000	0.00260	-1.00000
735	un	223406	0.01437	-1.00000	0.00780	-1.00000	0.00036	-1.00000
746	un	225842	0.06407	-1.00000	0.00815	-1.00000	0.00335	-1.00000
753	un	228206	-0.03370	-1.00000	-0.01988	-1.00000	-0.01810	-1.00000
756	un	229801	-0.02595	-1.00000	-0.00320	-1.00000	0.00782	-1.00000
768	un	233819	-0.02174	-1.00000	-0.01099	-1.00000	0.00020	-1.00000
770	un	234667	-0.03268	-1.00000	-0.01497	-1.00000	-0.02217	-1.00000
777	un	238310	0.12375	-1.00000	0.04394	-1.00000	0.02436	-1.00000
793	un	243208	0.06407	-1.00000	0.00815	-1.00000	0.01894	-1.00000
794	un	244015	-0.01350	-1.00000	-0.00217	-1.00000	-0.00166	-1.00000
802	un	247204	-0.02548	-1.00000	-0.01150	-1.00000	-0.02433	-1.00000
811	un	248703	-0.03986	-1.00000	-0.04151	-1.00000	-0.02531	-1.00000
812	un	249547	-0.03032	-1.00000	-0.00389	-1.00000	-0.00377	-1.00000
814	un	250405	-0.03641	-1.00000	-0.00561	-1.00000	-0.00566	-1.00000
